 YSI data from 1 mab at station  7 2007, times are edt                                         
     date    depth     temp     cond       do     turb      chl     batv        
 205.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.100
 205.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.100
 205.1875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.2083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.200
 205.2292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.100
 205.2500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.100
 205.2708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.100
 205.2917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.3125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.3333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.3542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.3750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.3958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.4167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.4375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.4583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.4792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.5000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.5833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.900
 205.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   12.000
 205.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.800
 205.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.800
 205.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.700
 205.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.700
 205.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.800
 205.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.800
 205.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.800
 205.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.700
 205.8125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.600
 205.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.700
 205.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.700
 205.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.600
 205.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 205.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 205.9375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 205.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 205.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.600
 206.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.400
 206.0208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.400
 206.0417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.400
 206.0625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 206.0833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 206.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.400
 206.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.300
 206.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.500
 206.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.300
 206.1875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.300
 206.2083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.300
